1,House Arryn,House,"House Arryn is one of the Great Houses of Westeros. It has ruled over the Vale of Arryn for millennia, originally as the Kings of Mountain and Vale and more recently as Lords Paramount of the Vale and Wardens of the East under the Targaryen kings and King Robert Baratheon. The nominal head of House Arryn is Robin Arryn, the Lord of the Eyrie, with his mother Lady Lysa acting as Lady Regent until he reaches the age of majority.",5,12
2,House Baratheon of Kings Landing,House,House Baratheon of King's Landing is a cadet branch of the original House Baratheon of Storm's End and the royal house of Westeros since the defeat of and exile of the Targaryen dynasty following Robert's Rebellion,7,13
3,House Baratheon of Dragonstone,House,"House Baratheon of Dragonstone is a cadet branch of the original House Baratheon of Storm's End and ruling house of the island of Dragonstone since the defeat of House Targaryen in Robert's Rebellion. Stannis Baratheon, the head of the house and the Lord of Dragonstone, is a claimant to the Iron Throne in the War of the Five Kings.",4,14
4,Free Folk,Political Faction,"The Free Folk is the name used to refer to themselves by the people who live in the lands beyond the Wall, still on the continent of Westeros but beyond the northern border of the Seven Kingdoms.  The name they employ makes reference to their society, which recognizes no inherent or hereditary political authority, except for leaders whom they choose to follow. The people of the Seven Kingdoms refer to the Free Folk derogatorily as wildlings.",11,15
5,House Greyjoy,House,"House Greyjoy is one of the Great Houses of Westeros. It rules over the Iron Islands, a harsh and bleak collection of islands off the west coast of Westeros, from the castle at Pyke. The head of the house is the Lord Reaper of Pyke.",9,16
6,House Lannister,House,"House Lannister of Casterly Rock is one of the Great Houses of Westeros, one of its richest and most powerful families and oldest dynasties. The major characters Jaime, Cersei, and Tyrion and the recurring characters Tywin, Kevan, and Lancel are members of the house. Tywin is the head of House Lannister and Lord of Casterly Rock.",2,
7,Nights Watch,Military Organization,"The Night's Watch is a military order which holds and guards the Wall, the immense ice structure which separates the northern border of the Seven Kingdoms from the lands beyond.",3,
8,House Stark,House,"House Stark is one of the Great Houses of Westeros, ruling over the vast region known as the North from their seat in Winterfell. It is by far one of the oldest lines of Westerosi nobility, claiming a line of descent stretching back over eight thousand years. The head of the house is the Lord of Winterfell. Before the Targaryen conquest, the leaders of House Stark ruled over the region as the Kings in the North.",10,
9,House Targaryen,House,"House Targaryen is a former Great House of Westeros and was the ruling royal House of the Seven Kingdoms for three centuries, before it was deposed during Robert's Rebellion and House Baratheon replaced it as the new royal House. The few surviving Targaryens fled into exile. House Targaryen's sigil is a three-headed red dragon on a black background, and their words are ""Fire and Blood"".",8,8
10,House Tully,House,"House Tully is one of the Great Houses of Westeros. Its most senior member carries the title of Lord of Riverrun and Lord Paramount of the Trident. The current head is Lord Edmure Tully, son of the late Hoster Tully. The Tully sigil is a silver trout on a red and blue background. Their motto is ""Family, Duty, Honor.""",15,19
11,House Tyrell,House,"House Tyrell is one of the Great Houses of Westeros. It rules over the Reach, a vast, fertile, and heavily-populated region of southwestern Westeros, from their castle-seat, Highgarden. It is currently led by Lord Mace Tyrell, although his mother, the indomitable Olenna Tyrell, still wields considerable influence over the House's affairs and is usually considered the true leader of the family. Mace's daughter Margaery married Renly when he crowned himself king, to cement the alliance between Renly and her father. Following Renly's death, Margaery was then married to King Joffrey Baratheon before his assassination at his wedding feast.  The Tyrell sigil is a golden rose on a pale green field. Their motto is, ""Growing Strong"".",6,20
12,House Frey,House,"House Frey was a vassal of House Tully of the Riverlands and holds its fealty to the Lord of Riverrun. Its current ruler is Lord Walder Frey. Their castle is known as the Twins, for its two identical keeps on either side of a river linked by a bridge. The Twins is one of the primary crossings over the Green Fork of the Trident River, and tolls from bridge crossings have made the Freys quite wealthy fairly quickly, elevating them from obscurity six centuries ago to being one of the most powerful noble Houses in the Riverlands - though they are looked down upon by older aristocratic families.",13,21
13,House Martell,House,"House Martell is one of the Great Houses of Westeros. It rules the peninsula of Dorne in the far south of the continent from their castle Sunspear. Though loyal to the Iron Throne, it has pursued a more isolated role in wider political events since Robert's Rebellion. House Martell's sigil is a red sun pierced by a golden spear, on an orange field, a combination of the original Martell sigil - a yellow spear - and the emblem of Princess Nymeria - a red sun - to symbolize the marriage of the warrior-queen to Mors Martell. The motto of the House is ""Unbowed, Unbent, Unbroken"".",14,11
14,House Baratheon of Storm's End,House,"House Baratheon is one of the Great Houses of Westeros, although also one of the youngest. House Baratheon's sigil is a black stag on a gold background and their house motto is ""Ours is the Fury"".  The ancestral Baratheon stronghold is Storm's End",31,35
15,House Bolton,House,"House Bolton is infamous for its centuries-old practice of flaying their enemies alive, to the point that they use a flayed man as their House sigil. The Boltons supposedly gave up this practice after bending the knee to House Stark, and centuries later Lord Eddard Stark outlawed flaying in the North altogether, but the Boltons continue the practice.  House Bolton's heraldry consists of a red flayed man upside-down on an x-shaped white cross over a field of black. Their official motto is ""Our Blades Are Sharp"", though a common saying of members of the House is ""A naked man has few secrets; a flayed man, none"".",32,40
